DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
MT-CO1,AC005301.9,MT-CO1,C6orf48,AC005301.9,C6orf48,G0S2
DPM3,ANKRD44-IT1,MZT2B,MT-CO1,ANKRD44-IT1,MT-CO1,AC005301.9
C12orf57,DPM3,C12orf57,C12orf57,DPM3,C12orf57,ANKRD44-IT1
MZT2B,RP11-385D13.3,MT-ND1,DPM3,RP11-385D13.3,MT-ND1,DPM3
MT-ND2,C12orf57,MT-ND2,MZT2B,MZT2B,MT-ND2,EEF1A1P13
MT-ND1,MZT2B,DPM3,MT-ND2,C12orf57,MZT2B,RP11-385D13.3
C6orf48,MT-CO1,C6orf48,MT-ND1,MT-CO1,TMEM238,C12orf57
MT-ND5,MT-ND4,MT-ND5,MT-ND5,MT-ND4,DPM3,CROCCP2
RPL18AP3,MT-ND2,RPL18AP3,RPL18AP3,MT-ND1,MT-ND5,MT-CO1
AC005301.9,MT-ND1,TMEM238,TMEM238,MT-ND2,RPL18AP3,MT-ND4
RP11-385D13.3,CROCCP2,AC005301.9,AC005301.9,RPL7AP50,PRR22,MZT2B
MT-ND4,RPS9,RP11-385D13.3,RP11-385D13.3,CROCCP2,AC005301.9,RPS9
TMEM238,MT-ND5,MT-ND4,MT-ND4,RPS9,MT-ND4,MT-ND2
RPL13AP5,RPL7AP50,RPL13AP5,RPL13AP5,MT-ND5,RP11-385D13.3,MT-ND1
MT-ATP6,RPL13AP5,MT-ATP6,MT-ATP6,RPL13AP5,RPL13AP5,GPRC5C
MMRN1,MMRN1,DNPH1,DNPH1,RPL18AP3,HCG4P11,EGR1
DNPH1,RPL18AP3,MMRN1,MMRN1,MMRN1,MT-ATP6,MT-ND5
CALD1,SELENOH,F13A1,CALD1,SELENOH,RP11-533E19.7,RPL13AP5
ITSN1,C6orf48,CALD1,ITSN1,C19orf60,TPGS1,RPL7AP50
ANKRD44-IT1,CALD1,ITSN1,F13A1,DNPH1,AC111200.7,C6orf48
F13A1,ITSN1,TPGS1,MT-CYB,CALD1,PDF,MMRN1
MT-CYB,DNPH1,MT-CYB,ANKRD44-IT1,C1orf122,DNPH1,RPL18AP3
CCDC85B,COPS9,CCDC85B,CCDC85B,MT-ATP6,SNX32,SELENOH
TPGS1,C19orf60,RP11-533E19.7,TPGS1,C6orf48,DVL1,CALD1
MTATP6P1,MT-ATP6,ANKRD44-IT1,MTATP6P1,TMEM238,F13A1,ITSN1
FAM173A,TMEM238,HCG4P11,HCG4P11,FAM173A,MTATP6P1,COPS9
RP11-533E19.7,C1orf122,MTATP6P1,RP11-533E19.7,ITSN1,CALD1,EGR3
HCG4P11,FAM173A,NME3,MT-ND4L,COPS9,ITSN1,RP11-157G21.2
MAP1A,MT-CYB,RP11-181E10.3,RP11-181E10.3,MAP1A,MMRN1,DNPH1
RP11-181E10.3,RPSAP58,MT-ND4L,FAM173A,MT-CYB,MST1,MT-ATP6
MFSD3,SNHG5,FAM173A,SNHG8,F13A1,TMEM160,RPSAP58
RPSAP58,F13A1,YDJC,MAP1A,CCDC85B,CCDC85B,SNHG5
MT-ND4L,MAP1A,MAP1A,YDJC,DST,MT-CYB,TMEM238
YDJC,CCDC85B,MFSD3,MFSD3,MFSD3,NME3,C19orf60
SH3BGRL2,MFSD3,CFAP161,RPSAP58,RPSAP58,MT-ND4L,C1orf122
TREML1,PYURF,TREML1,SH3BGRL2,RP11-720N19.2,RP11-181E10.3,FAM173A
SNHG5,YDJC,RPSAP58,TREML1,SNHG5,SNHG8,PTMAP1
SNHG8,MTATP6P1,SH3BGRL2,SNHG5,CFAP161,RP11-778D9.4,MT-CYB
CFAP161,HEMGN,TMEM160,JSRP1,YDJC,ANKRD44-IT1,F13A1
SNORA11,FOXP1-IT1,JSRP1,SNORA11,TPGS1,RP11-152N13.16,MAP1A
JSRP1,SH3BGRL2,SNX32,SNX32,FOXP1-IT1,RN7SL521P,CCDC85B
RNU6-238P,RP11-181E10.3,SNHG8,TMEM160,RP11-181E10.3,RASSF7,PYURF
PRKAR2B,RPS21,SNORA11,CFAP161,PYURF,JSRP1,ROMO1
TMEM160,TREML1,SNHG5,TRIM74,RPL26P19,UQCRFS1P1,RAD51AP1
SNX32,TPGS1,PRR22,RNU6-238P,HEMGN,YDJC,MFSD3
RPS21,PRKAR2B,TRIM74,SPARC,MTATP6P1,RP4-622L5.7,SNTG2
TRIM74,RPL26P19,RP11-152N13.16,RP11-152N13.16,TREML1,FAM173A,TSNAXIP1
SPARC,RP1-278E11.3,SPARC,PRKAR2B,SH3BGRL2,FBXL15,RPS21
HEMGN,MT-ND4L,RNU6-238P,PRR22,NME3,TRIM74,MTATP6P1
RP11-152N13.16,RPL34,TUBB1,RPS21,RP1-278E11.3,ZNF771,SH3BGRL2
TUBB1,TMEM40,PRKAR2B,TUBB1,RP11-533E19.7,SNORA11,HEMGN
RPL13P12,RNU6-238P,RPL13P12,RPL13P12,TMEM40,MFSD3,FOXP1-IT1
TMEM40,RP11-533E19.7,CTD-3001H11.2,CTD-3001H11.2,PRKAR2B,MAP1A,RP11-181E10.3
CTD-3001H11.2,TIMM8B,RPS21,MTND2P28,RPS21,C4orf48,MT-ND4L
PRR22,HCG4P11,C4orf48,HEMGN,RNU6-238P,TREML1,RP11-102N12.3
MTND2P28,TOMM7,UQCRFS1P1,FAM207BP,MT-ND4L,CFAP161,PRKAR2B
FAM207BP,RPL35,FAM207BP,RP11-778D9.4,ETV5,SH3BGRL2,TREML1
MYL9,FSTL1,MTND2P28,TMEM40,TIMM8B,RP11-110J1.2,YDJC
ABLIM3,EEF1A1P9,RP11-778D9.4,UQCRFS1P1,HCG4P11,RPSAP58,RPL34
FSTL1,EEF1B2,HEMGN,RN7SL521P,RPL34,SPARC,RP1-278E11.3
HES4,CFAP161,TMEM40,C4orf48,RPL35,TMEM191A,TPGS1
C4orf48,RP11-108M9.4,MMP17,ABLIM3,FSTL1,RP11-489E7.4,GCSHP5
UQCRFS1P1,SNHG8,RN7SL521P,MYL9,EEF1A1P9,DOK7,RPL26P19
C6orf25,SNORA11,ABLIM3,HES4,RP11-108M9.4,DDX50P1,TOMM7
RC3H1-IT1,IGHV3-7,HES4,RC3H1-IT1,TOMM7,RP5-827C21.4,HCG4P11
RP11-778D9.4,RPS3AP6,DOK7,FSTL1,SNORA11,SNHG5,TMEM40
CDC42BPA,RPS7P1,MYL9,CDC42BPA,ABCA9,CTD-3001H11.2,RPL35
BBOF1,JSRP1,RC3H1-IT1,BBOF1,IGHV3-7,TUBB1,TIMM8B
RN7SL521P,DPH5,AC111200.7,DOK7,PSMA6P1,RN7SL2,SNHG8
AC007272.3,UQCRQ,FSTL1,C6orf25,JSRP1,MTND2P28,RNU6-238P
RAB43,RPL13AP25,BBOF1,Metazoa_SRP,EEF1B2,RPL13P12,RP11-533E19.7
DOK7,RPS3A,Metazoa_SRP,AC111200.7,SELP,RP11-290D2.6,EEF1B2
IGLV1-51,C6orf25,CDC42BPA,RAB43,RPS7P1,RNU6-238P,SMKR1
AC241585.1,RPL31,C6orf25,TMEM121,RPS3AP6,RP11-471B22.2,EEF1A1P9
Metazoa_SRP,IGLV1-51,RAB43,AC007272.3,C6orf25,FAM207BP,FSTL1
AC092620.2,RPL13P12,TMEM121,PDF,AC241585.1,Metazoa_SRP,ANKS1B
TMEM121,MYL9,AC007272.3,IGLV1-51,DPH5,AC079250.1,RP11-71L14.3
Y_RNA,TUBB1,AC062017.1,AC062017.1,RP11-764D10.2,PRKAR2B,KCNK5
AC062017.1,RNU6-1003P,VIL1,RP11-110J1.2,RPL13P12,ABLIM3,RPS3AP6
VIL1,HGD,RP11-489E7.4,VIL1,RNU6-1003P,MMP17,RPS7P1
AC111200.7,SPARC,PDF,RP11-489E7.4,RPL13AP25,TLR9,IGHV3-7
CTD-2293H3.1,RP11-764D10.2,PSMA6P1,AC241585.1,TUBB1,RPS21,MIR635
ITGB3,NAMPTP1,AC241585.1,RP11-59C5.3,UQCRQ,RP11-59C5.3,SNORA11
CTD-2270P14.5,TRIM74,KCNQ1OT1,Y_RNA,DNAH12,EVA1B,UQCRQ
AC017035.2,RP11-91P24.6,IGLV1-51,CTD-2293H3.1,SNHG8,PGM5,DPH5
CLU,CTD-3001H11.2,Y_RNA,AC092620.2,SPARC,RP13-270P17.1,RP11-108M9.4
RP11-59C5.3,AC092620.2,CTD-2293H3.1,RP11-127B20.3,IGLV1-51,RP11-927P21.4,RPS3A
