DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
ENSG00000198804,ENSG00000170889,ENSG00000103024,,ENSG00000244405,ENSG00000107404,ENSG00000170412
ENSG00000179085,ENSG00000211450,ENSG00000198598,,ENSG00000154258,ENSG00000173531,ENSG00000179388
ENSG00000111678,ENSG00000172428,ENSG00000180914,,ENSG00000174175,ENSG00000099849,ENSG00000125995
ENSG00000152082,ENSG00000006015,ENSG00000111254,,ENSG00000174844,ENSG00000107872,ENSG00000111247
ENSG00000198763,ENSG00000197982,ENSG00000225523,,ENSG00000189045,ENSG00000179965,ENSG00000172554
ENSG00000198888,ENSG00000145337,,,ENSG00000172638,ENSG00000239732,ENSG00000102904
ENSG00000204387,ENSG00000109475,,,ENSG00000125257,ENSG00000142694,ENSG00000240204
ENSG00000198786,ENSG00000150779,,,ENSG00000136541,ENSG00000154330,ENSG00000185046
ENSG00000198886,ENSG00000196683,,,ENSG00000075651,ENSG00000140104,ENSG00000279693
ENSG00000233493,ENSG00000136942,,,ENSG00000157992,ENSG00000130222,ENSG00000164626
ENSG00000198899,ENSG00000114942,,,ENSG00000130413,ENSG00000143603,ENSG00000110693
ENSG00000138722,ENSG00000211938,,,ENSG00000177324,ENSG00000132613,ENSG00000119139
ENSG00000112667,ENSG00000117543,,,ENSG00000251692,ENSG00000279319,ENSG00000279198
ENSG00000122786,ENSG00000164405,,,ENSG00000148143,ENSG00000182584,ENSG00000172572
ENSG00000205726,ENSG00000145425,,,ENSG00000204262,ENSG00000211887,ENSG00000122641
ENSG00000124491,ENSG00000071082,,,ENSG00000066382,ENSG00000253304,ENSG00000083807
ENSG00000198727,ENSG00000113924,,,ENSG00000178033,ENSG00000188820,ENSG00000152128
ENSG00000175602,ENSG00000234741,,,ENSG00000148498,ENSG00000241360,ENSG00000225062
ENSG00000141933,ENSG00000141682,,,ENSG00000143947,ENSG00000185338,ENSG00000146072
ENSG00000103254,ENSG00000131037,,,ENSG00000153165,ENSG00000186235,ENSG00000106701
ENSG00000166963,ENSG00000230797,,,ENSG00000126787,ENSG00000169750,ENSG00000122877
ENSG00000167700,ENSG00000123689,,,ENSG00000120756,ENSG00000166126,ENSG00000138395
ENSG00000212907,ENSG00000123349,,,ENSG00000081026,ENSG00000130489,ENSG00000124721
ENSG00000161179,ENSG00000279191,,,ENSG00000165410,ENSG00000067141,ENSG00000198157
ENSG00000198478,ENSG00000171863,,,ENSG00000279555,ENSG00000144485,ENSG00000111716
ENSG00000161911,ENSG00000125691,,,ENSG00000156564,ENSG00000188483,ENSG00000135314
ENSG00000203875,ENSG00000122025,,,ENSG00000171502,ENSG00000116544,ENSG00000253250
ENSG00000156206,ENSG00000196914,,,ENSG00000164744,ENSG00000152475,ENSG00000109674
ENSG00000167476,ENSG00000142178,,,ENSG00000163697,ENSG00000196407,ENSG00000108924
ENSG00000005249,ENSG00000249992,,,ENSG00000147485,ENSG00000165568,ENSG00000112293
ENSG00000130748,ENSG00000131174,,,ENSG00000109272,ENSG00000254402,ENSG00000133026
ENSG00000172803,ENSG00000138326,,,ENSG00000176125,ENSG00000214026,ENSG00000249709
ENSG00000171858,ENSG00000232112,,,ENSG00000144426,ENSG00000167968,ENSG00000163701
ENSG00000155428,ENSG00000151914,,,ENSG00000280248,ENSG00000170128,ENSG00000017427
ENSG00000113140,ENSG00000279656,,,ENSG00000161970,ENSG00000177469,ENSG00000126803
ENSG00000136929,ENSG00000147604,,,ENSG00000079482,ENSG00000132464,ENSG00000196935
ENSG00000101162,ENSG00000137801,,,,,ENSG00000102755
ENSG00000088726,ENSG00000158747,,,,,ENSG00000211942
ENSG00000212123,ENSG00000124802,,,,,ENSG00000134532
ENSG00000101335,ENSG00000031691,,,,,ENSG00000131849
ENSG00000173210,ENSG00000185630,,,,,ENSG00000254887
ENSG00000163430,ENSG00000103740,,,,,ENSG00000125740
ENSG00000188290,ENSG00000131469,,,,,ENSG00000164919
ENSG00000243449,ENSG00000262814,,,,,ENSG00000279145
ENSG00000204420,ENSG00000134668,,,,,ENSG00000158113
ENSG00000143776,ENSG00000102362,,,,,ENSG00000110848
ENSG00000119636,ENSG00000211611,,,,,ENSG00000188761
ENSG00000172780,ENSG00000120738,,,,,
ENSG00000175920,ENSG00000165490,,,,,
ENSG00000211644,ENSG00000188243,,,,,
ENSG00000281571,ENSG00000211941,,,,,
ENSG00000184986,ENSG00000099985,,,,,
ENSG00000127831,ENSG00000182389,,,,,
ENSG00000259207,ENSG00000163682,,,,,
ENSG00000120885,ENSG00000018408,,,,,
ENSG00000258429,ENSG00000082781,,,,,
ENSG00000065534,ENSG00000229117,,,,,
ENSG00000163736,ENSG00000213741,,,,,
ENSG00000144677,ENSG00000163584,,,,,
ENSG00000228253,ENSG00000137876,,,,,
ENSG00000073792,ENSG00000064787,,,,,
ENSG00000185245,ENSG00000226891,,,,,
ENSG00000279948,ENSG00000052126,,,,,
,ENSG00000243466,,,,,
,ENSG00000070031,,,,,
,ENSG00000163808,,,,,
,ENSG00000133112,,,,,
,ENSG00000174586,,,,,
,ENSG00000279166,,,,,
,ENSG00000197467,,,,,
,ENSG00000279549,,,,,
,ENSG00000186047,,,,,
,ENSG00000251546,,,,,
,ENSG00000134419,,,,,
,ENSG00000147669,,,,,
,ENSG00000163661,,,,,
,ENSG00000127184,,,,,
,ENSG00000170271,,,,,
,ENSG00000165171,,,,,
