DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
ENSG00000213442,ENSG00000215908,ENSG00000215414,,ENSG00000265801,ENSG00000224066,ENSG00000250182
ENSG00000283633,ENSG00000213609,ENSG00000269821,,ENSG00000217130,ENSG00000226287,ENSG00000255836
ENSG00000266538,ENSG00000242094,ENSG00000265982,,ENSG00000261476,ENSG00000229816,ENSG00000228415
ENSG00000236552,ENSG00000226221,ENSG00000275457,,ENSG00000224479,ENSG00000231663,ENSG00000273472
ENSG00000236977,ENSG00000180211,,,ENSG00000228107,ENSG00000274012,ENSG00000224837
ENSG00000248527,ENSG00000249264,,,ENSG00000262380,ENSG00000273149,ENSG00000207561
ENSG00000272906,ENSG00000238142,,,ENSG00000213972,ENSG00000258424,ENSG00000225259
ENSG00000225864,ENSG00000234797,,,ENSG00000197099,ENSG00000230979,ENSG00000175886
ENSG00000271590,ENSG00000263266,,,ENSG00000273763,ENSG00000264235,ENSG00000279800
ENSG00000225178,ENSG00000136149,,,ENSG00000280383,ENSG00000273253,ENSG00000281344
ENSG00000203875,ENSG00000252908,,,ENSG00000242607,ENSG00000272277,ENSG00000228929
ENSG00000269893,ENSG00000283045,,,ENSG00000249014,ENSG00000260260,ENSG00000199266
ENSG00000221164,ENSG00000229644,,,ENSG00000267397,ENSG00000272711,ENSG00000123009
ENSG00000200183,ENSG00000255449,,,ENSG00000254332,ENSG00000262265,ENSG00000280441
ENSG00000272599,ENSG00000234741,,,ENSG00000213885,ENSG00000186235,ENSG00000236801
ENSG00000215030,ENSG00000250170,,,ENSG00000252577,ENSG00000248489,ENSG00000214548
ENSG00000277383,ENSG00000253683,,,ENSG00000243064,ENSG00000252965,ENSG00000238578
ENSG00000225630,ENSG00000256393,,,ENSG00000263606,ENSG00000255559,ENSG00000257167
ENSG00000228797,ENSG00000265735,,,ENSG00000178146,ENSG00000272086,ENSG00000253438
ENSG00000226085,ENSG00000272918,,,ENSG00000227905,ENSG00000258920,ENSG00000225062
ENSG00000236535,ENSG00000252498,,,ENSG00000248544,ENSG00000278743,ENSG00000247240
ENSG00000228205,ENSG00000248727,,,ENSG00000215156,ENSG00000198658,ENSG00000257698
ENSG00000240877,ENSG00000273017,,,ENSG00000259109,ENSG00000250878,ENSG00000237576
ENSG00000224672,ENSG00000236723,,,,ENSG00000276758,ENSG00000203799
ENSG00000278771,ENSG00000241678,,,,ENSG00000229054,ENSG00000213080
ENSG00000241772,ENSG00000213613,,,,ENSG00000235374,ENSG00000198618
ENSG00000222020,ENSG00000254325,,,,ENSG00000259635,ENSG00000200257
ENSG00000202382,ENSG00000253372,,,,ENSG00000226981,ENSG00000234648
ENSG00000231351,ENSG00000272953,,,,ENSG00000229585,ENSG00000235652
ENSG00000267672,ENSG00000222057,,,,ENSG00000199627,ENSG00000254789
ENSG00000276791,ENSG00000235531,,,,ENSG00000257337,ENSG00000272716
ENSG00000224442,ENSG00000214389,,,,ENSG00000230107,ENSG00000262495
ENSG00000273599,ENSG00000264281,,,,ENSG00000212536,ENSG00000260490
ENSG00000257246,ENSG00000260778,,,,ENSG00000269899,ENSG00000261220
ENSG00000272256,ENSG00000237039,,,,ENSG00000240750,ENSG00000230002
ENSG00000272677,ENSG00000241782,,,,,ENSG00000257595
ENSG00000237842,ENSG00000231680,,,,,ENSG00000227082
ENSG00000222858,ENSG00000266805,,,,,ENSG00000258365
ENSG00000270210,ENSG00000283674,,,,,ENSG00000273361
ENSG00000265393,ENSG00000272821,,,,,ENSG00000212588
ENSG00000244710,ENSG00000264017,,,,,ENSG00000254887
ENSG00000232229,ENSG00000154898,,,,,ENSG00000260742
ENSG00000248791,ENSG00000212385,,,,,ENSG00000231125
ENSG00000270802,ENSG00000200953,,,,,ENSG00000267711
ENSG00000239040,ENSG00000240531,,,,,ENSG00000235908
ENSG00000207003,ENSG00000183298,,,,,ENSG00000253676
,ENSG00000174715,,,,,
,ENSG00000221263,,,,,
,ENSG00000277602,,,,,
,ENSG00000274422,,,,,
,ENSG00000238103,,,,,
,ENSG00000206651,,,,,
,ENSG00000237550,,,,,
,ENSG00000219395,,,,,
,ENSG00000274765,,,,,
,ENSG00000213326,,,,,
,ENSG00000253043,,,,,
,ENSG00000250197,,,,,
,ENSG00000233411,,,,,
,ENSG00000261308,,,,,
,ENSG00000214485,,,,,
,ENSG00000227063,,,,,
,ENSG00000261461,,,,,
,ENSG00000212257,,,,,
,ENSG00000217416,,,,,
,ENSG00000277007,,,,,
,ENSG00000226891,,,,,
,ENSG00000223551,,,,,
,ENSG00000267412,,,,,
,ENSG00000243175,,,,,
,ENSG00000259767,,,,,
,ENSG00000270878,,,,,
,ENSG00000242737,,,,,
,ENSG00000260920,,,,,
,ENSG00000244398,,,,,
,ENSG00000239912,,,,,
,ENSG00000238231,,,,,
,ENSG00000237135,,,,,
,ENSG00000204177,,,,,
,ENSG00000243560,,,,,
,ENSG00000244327,,,,,
,ENSG00000180764,,,,,
,ENSG00000282100,,,,,
,ENSG00000271009,,,,,
,ENSG00000253430,,,,,
,ENSG00000241431,,,,,
,ENSG00000228502,,,,,
,ENSG00000202150,,,,,
,ENSG00000220749,,,,,
,ENSG00000230291,,,,,
,ENSG00000274213,,,,,
