DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
ENSG00000283633,ENSG00000213609,ENSG00000222858,ENSG00000213442,ENSG00000265801,ENSG00000231351,ENSG00000250182
ENSG00000266538,ENSG00000242094,ENSG00000269821,ENSG00000272906,ENSG00000263503,ENSG00000224066,ENSG00000108958
ENSG00000236552,ENSG00000180211,,ENSG00000272677,ENSG00000239763,ENSG00000230979,ENSG00000253438
ENSG00000236977,ENSG00000249264,,ENSG00000222020,ENSG00000154608,ENSG00000237842,ENSG00000281344
ENSG00000248527,ENSG00000263266,,,ENSG00000201662,ENSG00000258424,ENSG00000279800
ENSG00000225864,ENSG00000234797,,,ENSG00000249129,ENSG00000272256,ENSG00000238103
ENSG00000225178,ENSG00000224672,,,ENSG00000215414,ENSG00000231663,ENSG00000255836
ENSG00000271590,ENSG00000255449,,,ENSG00000213740,ENSG00000229816,ENSG00000276791
ENSG00000269893,ENSG00000272918,,,ENSG00000222057,ENSG00000226287,ENSG00000280441
ENSG00000221164,ENSG00000252908,,,ENSG00000228107,ENSG00000272277,ENSG00000237550
ENSG00000200183,ENSG00000256393,,,ENSG00000261476,ENSG00000264235,
ENSG00000272599,ENSG00000241772,,,ENSG00000221930,ENSG00000273599,
ENSG00000228797,ENSG00000283045,,,ENSG00000244055,ENSG00000275457,
ENSG00000225630,ENSG00000250170,,,ENSG00000261461,ENSG00000265982,
ENSG00000228205,ENSG00000252498,,,ENSG00000224479,ENSG00000273149,
ENSG00000277383,ENSG00000253683,,,ENSG00000217416,ENSG00000262265,
ENSG00000236535,ENSG00000265735,,,ENSG00000268423,,
ENSG00000229644,ENSG00000236723,,,ENSG00000271737,,
ENSG00000240877,ENSG00000136149,,,ENSG00000154898,,
ENSG00000278771,ENSG00000273017,,,ENSG00000241782,,
ENSG00000226085,ENSG00000241678,,,ENSG00000264017,,
,ENSG00000224837,,,ENSG00000212385,,
,ENSG00000226221,,,ENSG00000280383,,
,ENSG00000248727,,,ENSG00000243175,,
,ENSG00000202382,,,ENSG00000206651,,
,ENSG00000283674,,,ENSG00000235531,,
,ENSG00000213613,,,ENSG00000260490,,
,ENSG00000254325,,,ENSG00000277007,,
,ENSG00000270802,,,ENSG00000197099,,
,ENSG00000257246,,,ENSG00000267672,,
,ENSG00000253372,,,ENSG00000243560,,
,ENSG00000224442,,,ENSG00000123009,,
,ENSG00000238142,,,ENSG00000207561,,
,ENSG00000272953,,,ENSG00000262495,,
,ENSG00000221263,,,ENSG00000174715,,
,ENSG00000200953,,,ENSG00000175886,,
,ENSG00000264281,,,ENSG00000213972,,
,ENSG00000214389,,,ENSG00000253043,,
,ENSG00000219395,,,ENSG00000266805,,
,ENSG00000240531,,,ENSG00000180764,,
,ENSG00000213326,,,ENSG00000199266,,
,ENSG00000214485,,,ENSG00000178146,,
,ENSG00000228929,,,ENSG00000239912,,
,,,,ENSG00000244021,,
,,,,ENSG00000254332,,
,,,,ENSG00000178429,,
,,,,ENSG00000237135,,
,,,,ENSG00000259767,,
,,,,ENSG00000212257,,
,,,,ENSG00000233411,,
,,,,ENSG00000244327,,
,,,,ENSG00000250197,,
,,,,ENSG00000202150,,
,,,,ENSG00000217130,,
,,,,ENSG00000185710,,
,,,,ENSG00000214548,,
,,,,ENSG00000248791,,
,,,,ENSG00000267412,,
,,,,ENSG00000238231,,
,,,,ENSG00000270210,,
,,,,ENSG00000260920,,
,,,,ENSG00000274765,,
,,,,ENSG00000242607,,
,,,,ENSG00000273763,,
,,,,ENSG00000207003,,
,,,,ENSG00000282100,,
,,,,ENSG00000204177,,
,,,,ENSG00000199627,,
,,,,ENSG00000249014,,
,,,,ENSG00000244710,,
,,,,ENSG00000233040,,
,,,,ENSG00000253430,,
,,,,ENSG00000271009,,
,,,,ENSG00000240216,,
,,,,ENSG00000242737,,
