DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
MT-CO1,CROCCP2,NME3,,RP11-720N19.2,DVL1,EEF1A1P13
DPM3,RPS9,MMP17,,ETV5,MST1,GPRC5C
C12orf57,RPL7AP50,PSMA6P1,,ABCA9,RASSF7,EGR3
MZT2B,SELENOH,KCNQ1OT1,,SELP,RP4-622L5.7,RP11-157G21.2
MT-ND2,COPS9,RP11-927P21.4,,DNAH12,FBXL15,PTMAP1
MT-ND1,C19orf60,RP1-198K11.5,,RP3-375P9.2,ZNF771,ROMO1
C6orf48,C1orf122,OXTR,,RP11-77K12.3,TMEM191A,RAD51AP1
MT-ND5,PYURF,AKAP3,,ANKDD1B,DDX50P1,SNTG2
RPL18AP3,FOXP1-IT1,IGKV6D-21,,EFEMP2,RP5-827C21.4,TSNAXIP1
AC005301.9,RPL26P19,,,ABCC4,RN7SL2,RP11-102N12.3
RP11-385D13.3,RP1-278E11.3,,,AC136289.1,RP11-290D2.6,GCSHP5
MT-ND4,RPL34,,,ERMN,RP11-471B22.2,SMKR1
TMEM238,TIMM8B,,,PLD1,AC079250.1,ANKS1B
RPL13AP5,TOMM7,,,AP000692.9,TLR9,RP11-71L14.3
MT-ATP6,RPL35,,,CTB-193M12.3,EVA1B,KCNK5
MMRN1,EEF1A1P9,,,RP3-522P13.2,PGM5,MIR635
DNPH1,EEF1B2,,,KRTCAP3,RP13-270P17.1,SOX6
CALD1,RP11-108M9.4,,,STK33,C14orf79,ST13P6
ITSN1,IGHV3-7,,,RP11-573D15.8,RP3-402G11.26,RPL7AP66
ANKRD44-IT1,RPS3AP6,,,BEND2,RP1-40E16.12,BCLAF1P2
F13A1,RPS7P1,,,PTX4,GADD45G,HELLPAR
MT-CYB,DPH5,,,RP11-420C9.1,KCNN3,RPS13P2
CCDC85B,UQCRQ,,,ZNF462,MTSS1L,SNORA60
TPGS1,RPL13AP25,,,COL5A2,RP11-693M3.1,TJP2
MTATP6P1,RPS3A,,,MPPED2,ACTL10,CTD-2231E14.2
FAM173A,RPL31,,,CTA-941F9.10,SNHG19,CH507-528H12.1
RP11-533E19.7,RNU6-1003P,,,FAM26E,TRAJ2,NME2P1
HCG4P11,HGD,,,PARD3,RP11-259N19.1,PDE3A
MAP1A,RP11-764D10.2,,,RPS3AP34,RP5-867C24.4,INHBA
RP11-181E10.3,NAMPTP1,,,RPS27A,TMEM200B,RPL24P8
MFSD3,RP11-91P24.6,,,RGPD3,FAM26F,MEG3
RPSAP58,GAS5,,,DLGAP5,PDXP,SLC27A5
MT-ND4L,PMAIP1,,,HMGN2P4,AC016757.3,SNORD4A
YDJC,RASA2-IT1,,,PLS1,SOCS1,TMEM163
SH3BGRL2,EPS8L1,,,RP11-873E20.1,RAC3,TMPO-AS1
TREML1,YY2,,,MAGI3,AMN,PCAT1
SNHG5,CTB-79E8.3,,,CFL2,SCO2,CATIP-AS1
SNHG8,G0S2,,,RP11-426D19.1,CTD-2007H13.3,TNFRSF21
CFAP161,RPL41P5,,,GS1-44D20.1,NEO1,FSD1L
SNORA11,RN7SL5P,,,LRFN2,HES6,EGR2
JSRP1,PFDN5,,,COL24A1,IER5L,UBL7-AS1
RNU6-238P,RP11-803D5.1,,,RPL13AP7,CTD-2186M15.3,RP11-620J15.3
PRKAR2B,CTB-152G17.6,,,SCARNA20,ZNF252P-AS1,CDK15
TMEM160,RPS7,,,SUN3,FOXN3-AS1,DNAH8
SNX32,RPL23,,,APBB2,RP11-707G18.1,AC097495.2
RPS21,RNU6-1016P,,,ABCC13,ABHD17AP1,HMGN5
TRIM74,CTC-236F12.4,,,PXDNL,METTL21EP,CCDC162P
SPARC,FLT3,,,RP11-737O24.3,AC010518.2,RP11-312J18.5
HEMGN,ARHGEF12,,,RP1-232L22__B.1,DLGAP3,PPIAP22
RP11-152N13.16,SIK1,,,PF4V1,ZNF837,RNU6-97P
TUBB1,AP000240.9,,,UFSP1,RPS29P14,AL162151.3
