DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
RPL18AP3,CROCCP2,PSMA6P1,,RP11-720N19.2,RP4-622L5.7,EEF1A1P13
AC005301.9,RPL7AP50,KCNQ1OT1,,RP3-375P9.2,TMEM191A,RP11-157G21.2
RP11-385D13.3,FOXP1-IT1,RP11-927P21.4,,RP11-77K12.3,DDX50P1,PTMAP1
RPL13AP5,RPL26P19,RP1-198K11.5,,AC136289.1,RP5-827C21.4,RP11-102N12.3
ANKRD44-IT1,RP1-278E11.3,,,AP000692.9,RN7SL2,GCSHP5
MTATP6P1,EEF1A1P9,,,CTB-193M12.3,RP11-290D2.6,MIR635
RP11-533E19.7,RP11-108M9.4,,,RP3-522P13.2,RP11-471B22.2,ST13P6
HCG4P11,RPS3AP6,,,RP11-573D15.8,AC079250.1,RPL7AP66
RP11-181E10.3,RPS7P1,,,RP11-420C9.1,RP13-270P17.1,BCLAF1P2
RPSAP58,RPL13AP25,,,CTA-941F9.10,RP3-402G11.26,HELLPAR
SNHG5,RNU6-1003P,,,RPS3AP34,RP1-40E16.12,RPS13P2
SNHG8,RP11-764D10.2,,,HMGN2P4,SNHG19,SNORA60
SNORA11,NAMPTP1,,,RP11-873E20.1,RP11-259N19.1,CH507-528H12.1
RNU6-238P,RP11-91P24.6,,,GS1-44D20.1,RP5-867C24.4,NME2P1
RP11-152N13.16,GAS5,,,RPL13AP7,AC016757.3,RPL24P8
RPL13P12,RASA2-IT1,,,SCARNA20,CTD-2007H13.3,MEG3
CTD-3001H11.2,CTB-79E8.3,,,ABCC13,CTD-2186M15.3,SNORD4A
MTND2P28,RPL41P5,,,RP11-737O24.3,Y_RNA,TMPO-AS1
FAM207BP,RN7SL5P,,,RP1-232L22__B.1,ZNF252P-AS1,PCAT1
UQCRFS1P1,CTB-152G17.6,,,MED6P1,FOXN3-AS1,CATIP-AS1
RC3H1-IT1,RNU6-1016P,,,CTB-47B11.3,RP11-707G18.1,UBL7-AS1
RP11-778D9.4,CTC-236F12.4,,,RP11-1023L17.2,ABHD17AP1,RP11-620J15.3
RN7SL521P,AP000240.9,,,RP4-687K1.2,METTL21EP,AC097495.2
AC007272.3,RP5-1024G6.2,,,,AC010518.2,CCDC162P
Metazoa_SRP,RP11-732A19.1,,,,RPS29P14,RP11-312J18.5
AC092620.2,RPL11P3,,,,SSR4P1,PPIAP22
AC062017.1,RP11-318K15.2,,,,AC100830.3,RNU6-97P
Y_RNA,RP11-44N11.1,,,,ABHD17AP6,AL162151.3
AC111200.7,RP11-1275H24.2,,,,RPL21P44,RP11-531H8.2
CTD-2293H3.1,RNU4-62P,,,,RNU6-1010P,RP11-545I5.3
CTD-2270P14.5,MSC-AS1,,,,RP11-983P16.4,RP11-563N4.1
AC017035.2,RPS3AP26,,,,CTA-126B4.7,RP11-46I8.1
RP11-59C5.3,CTD-2031P19.4,,,,RNA5SP474,MYL12BP1
PHBP19,MIR940,,,,RP11-589N15.2,RP11-629O1.2
RP11-489E7.4,AC018738.2,,,,RN7SL559P,ALMS1-IT1
RP11-127B20.3,RP11-91P24.1,,,,,RP3-473L9.4
RP11-110J1.2,AP003774.6,,,,,CH17-437K3.1
RNU6-920P,RP11-61L19.1,,,,,RP11-1105G2.3
RP11-373D23.3,RP11-419I17.1,,,,,RP11-378A13.2
CTD-2517M22.17,CTA-384D8.36,,,,,SNORA26
RN7SL47P,RN7SL336P,,,,,CTC-378H22.1
LINC00865,CCDC144CP,,,,,RP11-366L5.1
CTD-2165H16.3,RNU6-817P,,,,,AF129075.5
AC005776.1,Y_RNA,,,,,RP11-686D22.5
Y_RNA,RPL21P123,,,,,RHOA-IT1
RNU6-611P,RPSAP19,,,,,TAGLN2P1
,RP11-79L9.2,,,,,
,MIR548P,,,,,
,AC005363.11,,,,,
,LL22NC03-2H8.5,,,,,
,RPL9P7,,,,,
,Y_RNA,,,,,
,RPL9P9,,,,,
,HSPA8P15,,,,,
,RP11-139H15.7,,,,,
,RPS7P11,,,,,
,RNU7-181P,,,,,
,HMGN1P15,,,,,
,RP11-104L21.2,,,,,
,FIGNL2,,,,,
,RPL7P1,,,,,
,RPL41P1,,,,,
,UBE2MP1,,,,,
,RNU6-1176P,,,,,
,ISCA1P1,,,,,
,RP11-392O17.2,,,,,
,LINC01359,,,,,
,TMSB4XP4,,,,,
,CTC-265F19.2,,,,,
,RPSAP36,,,,,
,RP11-90B9.2,,,,,
,CTD-2302E22.5,,,,,
,RP11-562A8.1,,,,,
,RP1-228H13.5,,,,,
,RP11-466H18.1,,,,,
,RPL39P36,,,,,
,RP11-460I13.6,,,,,
,DDX10P1,,,,,
,BMS1P1,,,,,
,RN7SL364P,,,,,
,RP11-383G6.3,,,,,
,PIPSL,,,,,
,HSP90AB4P,,,,,
,RP11-346C20.3,,,,,
,RP11-14I17.2,,,,,
,RPL37P6,,,,,
,EEF1A1P11,,,,,
,RNU6-407P,,,,,
,RPL21P28,,,,,
,RP11-244J10.1,,,,,
,RP11-670E13.6,,,,,
