DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
AC005301.9,AC005301.9,AC005301.9,AC005301.9,AC005301.9,AC005301.9,AC005301.9
RP11-385D13.3,ANKRD44-IT1,RP11-385D13.3,RP11-385D13.3,ANKRD44-IT1,HCG4P11,ANKRD44-IT1
RPL13AP5,RP11-385D13.3,RPL13AP5,RPL13AP5,RP11-385D13.3,MTATP6P1,EEF1A1P13
ANKRD44-IT1,RPL13AP5,MTATP6P1,RPL18AP3,RPL13AP5,RP11-385D13.3,RP11-385D13.3
MTATP6P1,RPL7AP50,ANKRD44-IT1,ANKRD44-IT1,MTATP6P1,RPL13AP5,RPL13AP5
HCG4P11,RPSAP58,HCG4P11,MTATP6P1,RPL7AP50,RPL18AP3,RPSAP58
RPSAP58,MTATP6P1,RP11-181E10.3,HCG4P11,RP11-720N19.2,ANKRD44-IT1,RPL18AP3
RP11-181E10.3,RP11-181E10.3,RPSAP58,SNHG8,RPSAP58,RP11-778D9.4,RPL7AP50
SNHG8,FOXP1-IT1,SNORA11,RP11-533E19.7,RP11-181E10.3,AC111200.7,SNHG8
SNORA11,SNORA11,RNU6-238P,RPSAP58,FOXP1-IT1,RP11-533E19.7,MTATP6P1
RNU6-238P,RNU6-238P,SNHG8,RP11-181E10.3,SNORA11,SNHG8,HCG4P11
RP11-152N13.16,HCG4P11,RP11-152N13.16,RNU6-238P,FAM207BP,RN7SL521P,RP11-181E10.3
FAM207BP,RP1-278E11.3,MTND2P28,SNORA11,RNU6-238P,UQCRFS1P1,RP1-278E11.3
MTND2P28,FAM207BP,RP11-778D9.4,RP11-778D9.4,RP11-707O23.5,RP11-181E10.3,FOXP1-IT1
RP11-778D9.4,SNHG8,FAM207BP,RP11-152N13.16,AC007272.3,RP4-622L5.7,RNU6-238P
CTD-3001H11.2,EEF1A1P9,NAMPTP1,RN7SL521P,AC009120.3,AC079250.1,RPS3AP6
RC3H1-IT1,RPS7P1,RN7SL521P,CTD-3001H11.2,AC092620.2,RNU6-238P,EEF1A1P9
NAMPTP1,RPS3AP6,CTD-3001H11.2,MTND2P28,CEP170P1,RP11-110J1.2,RPS7P1
RN7SL521P,AC007272.3,Metazoa_SRP,FAM207BP,CTB-152G17.6,RP11-152N13.16,SNORA11
Metazoa_SRP,RP11-91P24.6,RC3H1-IT1,Metazoa_SRP,HCG4P11,RP11-471B22.2,RP11-533E19.7
UQCRFS1P1,CTB-152G17.6,UQCRFS1P1,UQCRFS1P1,NAMPTP1,RP11-489E7.4,FAM207BP
,RNU6-1003P,RNU6-920P,RC3H1-IT1,RASA2-IT1,RPSAP58,RPL41P5
,RP11-152N13.16,KCNQ1OT1,NAMPTP1,RNU6-1003P,SNORA11,AC007272.3
,RC3H1-IT1,,RP11-127B20.3,RNU6-60P,MTND2P28,CTB-79E8.3
,RPL41P5,,AC062017.1,RP1-278E11.3,Metazoa_SRP,AC016292.3
,AC092620.2,,,RP11-152N13.16,RP5-827C21.4,PCAT1
,RP11-764D10.2,,,RP11-764D10.2,CTD-3001H11.2,RC3H1-IT1
,RASA2-IT1,,,RP11-91P24.6,DDX50P1,RP11-91P24.6
,RNU6-1016P,,,RNU6-1016P,TMEM191A,CTB-152G17.6
,MTND2P28,,,MTND2P28,FAM207BP,RN7SL5P
,CTB-79E8.3,,,EEF1A1P9,RP1-40E16.12,CTD-3001H11.2
,NAMPTP1,,,SUDS3P1,RP13-270P17.1,RNU6-1003P
,RN7SL5P,,,RPS7P1,NAMPTP1,RP11-152N13.16
,RP5-1024G6.2,,,RPS3AP6,RC3H1-IT1,HELLPAR
,CTD-3001H11.2,,,AP000240.9,RP11-59C5.3,RPL13AP25
,RPL13AP25,,,RP5-1024G6.2,RNU6-920P,AC092620.2
,AP000240.9,,,PSMA6P1,RP1-198K11.5,CTD-2031P19.4
,RP11-732A19.1,,,RC3H1-IT1,RP11-127B20.3,RNU6-1016P
,GCSHP5,,,RNU4-62P,KCNQ1OT1,RP11-764D10.2
,RPL26P19,,,SERBP1P1,RP11-290D2.6,RP11-778D9.4
,CTC-236F12.4,,,AP000692.9,RP11-927P21.4,RASA2-IT1
,Y_RNA,,,SNHG8,RP5-867C24.4,MTND2P28
,RP11-419I17.1,,,CTC-236F12.4,AC062017.1,RP11-1275H24.2
,RPL11P3,,,RP11-77K12.3,,BCLAF1P2
