"","Row.names","Log2FoldChange","logCPM","LR","PValue","P.Adjust","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"1496","ENSG00000236977",-1.22243405485351,7.74134582894499,31.1439914524231,2.39579797823469e-08,5.69522448812731e-05,"chr2",197250858,197302519,0.406585110913244,0.4266361488727,"0.40629766966694975",51662,1063,"3","sense_intronic",40.66,"ANKRD44-IT1","down"
"1984","ENSG00000250182",1.73584366633556,6.69474627319233,29.9231886235047,4.49504695195526e-08,5.69522448812731e-05,"chr5",14651941,14653329,0.47732181425486,0.47732181425486,".",1389,1388,"5","processed_pseudogene",47.73,"EEF1A1P13","up"
"3798","ENSG00000283633",-1.11798022599476,7.66476744247348,29.984617884828,4.35487230594074e-08,5.69522448812731e-05,"chr22",16601911,16615111,0.47928187258541,0.510525599016374,"0.47251405357297155",13201,3068,"6","lincRNA",47.93,"AC005301.9","down"
"2827","ENSG00000266538",-1.26412282742461,6.52288400298785,28.8468423885688,7.8333501291045e-08,7.44364096018155e-05,"chr17",15530773,15531089,0.501577287066246,0.501577287066246,".",317,316,"6","lincRNA",50.16,"RP11-385D13.3","down"
"1471","ENSG00000236552",0.672204962989539,11.6231117998457,23.8857572391286,1.02225287622541e-06,0.00077711663650656,"chr10",96750288,96750899,0.573529411764706,0.573529411764706,".",612,611,"7","processed_pseudogene",57.35,"RPL13AP5","up"
"716","ENSG00000225178",0.841371315837682,10.0631315856672,22.6901733748693,1.90338767358812e-06,0.00120579609121807,"chr19",23827162,23828049,0.523648648648649,0.523648648648649,".",888,887,"6","processed_pseudogene",52.36,"RPSAP58","up"
"420","ENSG00000213442",0.650236265310231,11.6910609448186,22.17326600601,2.49118609170872e-06,0.00135271404779784,"chr12",104265309,104265836,0.602272727272727,0.602272727272727,".",528,527,"8","processed_pseudogene",60.23,"RPL18AP3","up"
"521","ENSG00000215908",0.577558676565445,10.7996395538394,21.8697201228449,2.91802278469119e-06,0.0013864255755764,"chr1",16618969,16644683,0.535757340073887,0.636022049061093,"0.5248275460608572",25715,3928,"8","transcribed_unprocessed_pseudogene",53.58,"CROCCP2","not"
"429","ENSG00000213609",1.55432801800717,4.48923856233379,21.0679233666553,4.43286870753645e-06,0.00187214821748289,"chr10",63902451,63903245,0.532075471698113,0.532075471698113,".",795,794,"6","processed_pseudogene",53.21,"RPL7AP50","up"
"3042","ENSG00000269893",0.807349631451842,8.5530115197311,20.3273924093115,6.52595906932669e-06,0.00248051704225107,"chr4",118278709,118279823,0.458295964125561,0.471145314158023,"0.48174080216997855",1115,963,"5","lincRNA",45.83,"SNHG8","up"
