"","Row.names","Log2FoldChange","AveExpr","t","P.Value","P.Adjust","B","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name","col"
"420","ENSG00000213442",0.635133975954899,11.555466914208,5.10231140193913,1.15146224161023e-06,0.00142155144513173,4.9454295860044,"chr12",104265309,104265836,0.602272727272727,0.602272727272727,".",528,527,"8","processed_pseudogene",60.23,"RPL18AP3","up"
"766","ENSG00000225864",1.71744400630852,3.16506518985205,5.03420068282608,1.55272193046373e-06,0.00142155144513173,4.70375067778078,"chr6",29722981,29723971,0.63773965691221,0.63773965691221,".",991,990,"8","unprocessed_pseudogene",63.77,"HCG4P11","up"
"1471","ENSG00000236552",0.610046721313411,11.4703315725064,5.07916600351132,1.27494665956861e-06,0.00142155144513173,4.85414179347623,"chr10",96750288,96750899,0.573529411764706,0.573529411764706,".",612,611,"7","processed_pseudogene",57.35,"RPL13AP5","up"
"1913","ENSG00000248527",-0.875737522651901,12.4262772595582,-4.94953086088464,2.24396439641946e-06,0.00142155144513173,4.23624914104402,"chr1",633696,634376,0.439060205580029,0.439060205580029,".",681,680,"3","unprocessed_pseudogene",43.91,"MTATP6P1","down"
"2827","ENSG00000266538",-1.18278881816247,5.9996885885865,-4.96118525675401,2.1335479353904e-06,0.00142155144513173,4.65774884518462,"chr17",15530773,15531089,0.501577287066246,0.501577287066246,".",317,316,"6","lincRNA",50.16,"RP11-385D13.3","down"
"3798","ENSG00000283633",-1.05677870427427,7.26707823099948,-5.08131207575681,1.26297551589486e-06,0.00142155144513173,5.09820006979398,"chr22",16601911,16615111,0.47928187258541,0.510525599016374,"0.47251405357297155",13201,3068,"6","lincRNA",47.93,"AC005301.9","down"
"925","ENSG00000228205",1.55463885164322,3.67731735683395,4.65527502340022,7.82611850351757e-06,0.00392048856226744,3.36354487673514,"chr3",184149704,184150435,0.521857923497268,0.521857923497268,".",732,731,"6","processed_pseudogene",52.19,"RP11-778D9.4","up"
"1496","ENSG00000236977",-1.00562578976744,7.30011343735982,-4.64254930315852,8.2514886866981e-06,0.00392048856226744,3.33053530689106,"chr2",197250858,197302519,0.406585110913244,0.4266361488727,"0.40629766966694975",51662,1063,"3","sense_intronic",40.66,"ANKRD44-IT1","down"
"1128","ENSG00000231351",0.989273853955376,4.61456808829113,4.5872232169125,1.03751490585766e-05,0.00438177128573886,3.19278863702143,"chr2",86930250,86930754,0.61980198019802,0.61980198019802,".",505,504,"8","processed_pseudogene",61.98,"AC111200.7","up"
"3042","ENSG00000269893",0.737213356073485,8.27150262110404,4.53838311045183,1.26810443349035e-05,0.00438187722881528,2.87452462949121,"chr4",118278709,118279823,0.458295964125561,0.471145314158023,"0.48174080216997855",1115,963,"5","lincRNA",45.83,"SNHG8","up"
"3342","ENSG00000272906",0.713013049690536,5.89047304382748,4.5459769356438,1.22925705547265e-05,0.00438187722881528,3.04241105559605,"chr1",179881607,179882595,0.540950455005056,0.540950455005056,".",989,988,"7","lincRNA",54.1,"RP11-533E19.7","up"
