"","Row.names","logFC","logCPM","LR","PValue","FDR","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name"
"1","ENSG00000002330",0.434651614229572,3.71131051907371,12.5520024448471,0.000395781959697465,0.0161727553810329,"chr11",64269830,64284704,0.539226890756302,0.646998985462134,"0.5246958675116579",14875,1703,"8","protein_coding",53.92,"BAD"
"2","ENSG00000004866",-0.475200484746614,2.0467221708763,14.3165444519395,0.000154501022915489,0.00990587222046592,"chr7",116953238,117230103,0.39148179985986,0.451044426491018,"0.3888345427068214",276866,6745,"4","protein_coding",39.15,"ST7"
"3","ENSG00000005206",0.353350414688246,5.05972874047206,10.5795931316366,0.00114342822114475,0.0280478545046077,"chr19",2328615,2354806,0.610606291997557,0.640823649413021,"0.6040288550066538",26192,7111,"8","protein_coding",61.06,"SPPL2B"
"4","ENSG00000005249",-0.731943481456212,3.909434909612,18.5468168614466,1.65781844233984e-05,0.00316625302721232,"chr7",107044649,107161811,0.386325034353849,0.400340652014641,"0.3866519672945847",117163,4305,"2","protein_coding",38.63,"PRKAR2B"
"5","ENSG00000005483",-0.280222764338735,6.92816155602765,12.0172013758851,0.000527117922288045,0.0194986685024634,"chr7",105014179,105114361,0.374634419013206,0.412340952453074,"0.37128142943313464",100183,9549,"2","protein_coding",37.46,"KMT2E"
"6","ENSG00000005810",-0.325643988599842,5.85238797771051,17.7717571264275,2.49052946190245e-05,0.00408982179206429,"chr13",77044655,77327050,0.357218232552869,0.439733117488068,"0.3520033320239872",282396,15858,"3","protein_coding",35.72,"MYCBP2"
"7","ENSG00000005893",-0.287095720149693,6.83403749886972,9.32108699043818,0.00226531567358178,0.0401930616039519,"chrX",120427827,120469365,0.387948674739402,0.365833147825084,"0.3796532075521735",41539,5515,"1","protein_coding",38.79,"LAMP2"
"8","ENSG00000006015",0.65796439959208,4.90309015365238,22.1385656215532,2.53662307419771e-06,0.00096893487036365,"chr19",18588685,18592336,0.602409638554217,0.596380831556675,"0.5940195316619243",3652,3367,"8","protein_coding",60.24,"C19orf60"
"9","ENSG00000006125",-0.282450062237451,6.71790861109217,19.1816887930837,1.18847990949456e-05,0.00274773427496433,"chr17",35578046,35726409,0.399301717397751,0.464864807763229,"0.39754592824425133",148364,7833,"4","protein_coding",39.93,"AP2B1"
"10","ENSG00000006715",-0.247482803068554,5.1778122407161,8.70010008906959,0.00318192578275174,0.0479499296129767,"chr7",38722963,38932394,0.38354215210665,0.400280826036457,"0.37875068279485985",209432,7764,"2","protein_coding",38.35,"VPS41"
"11","ENSG00000007312",0.413554904388392,4.86349996424229,9.69672674934787,0.00184596535913784,0.0360794853452848,"chr17",63928740,63932354,0.606915629322268,0.60967980929139,"0.6084292872986128",3615,2074,"8","protein_coding",60.69,"CD79B"
"12","ENSG00000007520",0.291612683030079,4.65903313006023,9.27990288998834,0.00231681711609038,0.0405690970077469,"chr16",1349240,1351911,0.625748502994012,0.670986762914252,"0.58374674930228",2672,1237,"8","protein_coding",62.57,"TSR3"
"13","ENSG00000008869",-0.257503302605854,4.64648528580264,8.89289955892446,0.00286281742267255,0.0456501569718829,"chr2",36968383,37084342,0.385934805105209,0.412999935573334,"0.376062838000378",115960,8169,"2","protein_coding",38.59,"HEATR5B"
"14","ENSG00000008988",0.490608595812006,9.01222008261891,13.1814847282625,0.000282728664991417,0.0134265550609843,"chr8",56067295,56074581,0.419651434060656,0.450048162876967,"0.40628717503033995",7287,3802,"4","protein_coding",41.97,"RPS20"
"15","ENSG00000009413",-0.370922217626201,3.52527854696286,8.77289512154445,0.00305739773467547,0.0470698685708275,"chr6",111299028,111483715,0.368968205839037,0.391894376922694,"0.3662228831197599",184688,12388,"2","protein_coding",36.9,"REV3L"
"16","ENSG00000009954",-0.262290251548485,5.9381828671518,10.0012334069473,0.00156435417241614,0.0332353430195216,"chr7",73440398,73522278,0.431907280077185,0.479520786890889,"0.4264854184833743",81881,7406,"5","protein_coding",43.19,"BAZ1B"
"17","ENSG00000010295",0.284073279290422,5.76869070694045,12.6736732210031,0.000370840271082091,0.0154043366505518,"chr12",6538375,6556083,0.543170139477102,0.587185001905972,"0.5322313959861177",17709,5311,"8","protein_coding",54.32,"IFFO1"
"18","ENSG00000011198",-0.418151319218474,5.91137666322657,11.5791449183347,0.000666956035217423,0.0216408684037726,"chr3",43690113,43734371,0.402562190740866,0.468977199710273,"0.4018098566998556",44259,3191,"4","protein_coding",40.26,"ABHD5"
"19","ENSG00000012048",-0.375323774555413,2.62930996624359,11.1835753170841,0.000825245974984896,0.0242481555626415,"chr17",43044295,43170245,0.440925439258124,0.433944711113281,"0.42858359370805155",125951,8894,"3","protein_coding",44.09,"BRCA1"
"20","ENSG00000013374",-0.279246874014817,6.41471963185341,9.19446903167939,0.00242747494018805,0.0414108370621789,"chr7",151341699,151378449,0.449620418492014,0.482228583687002,"0.44965338451980763",36751,5393,"5","protein_coding",44.96,"NUB1"
"21","ENSG00000014257",-0.479988737427019,3.47524700376072,12.8450583263902,0.000338371663022591,0.0148638212274249,"chr3",132317367,132368298,0.403950365192806,0.435017249835864,"0.3945610969998697",50932,4505,"3","protein_coding",40.4,"ACPP"
"22","ENSG00000017427",-1.36244118978015,-0.611454499411838,9.17559663010087,0.00245263399727863,0.041637905281336,"chr12",102395867,102480645,0.396595855105628,0.369627242076487,"0.39993383574464514",84779,8131,"1","protein_coding",39.66,"IGF1"
"23","ENSG00000018408",-1.14274259890704,-0.81406120399875,8.88797471281498,0.00287054969989228,0.0457106752512119,"chr3",149517235,149736714,0.410688901038819,0.426239877660693,"0.41185561726994097",219480,8394,"3","protein_coding",41.07,"WWTR1"
"24","ENSG00000021776",-0.288889328802104,4.62989104789348,10.2003672711132,0.00140412686416534,0.0314291887009543,"chr15",34851782,34969839,0.375357874942825,0.38915052553717,"0.3701190790816791",118058,13681,"2","protein_coding",37.54,"AQR"
"25","ENSG00000022267",-0.503750008661716,2.84391365753153,13.0168602495955,0.000308698957461717,0.0141402453577991,"chrX",136146702,136211359,0.420705867796715,0.501007972096333,"0.41144407019204615",64658,6084,"6","protein_coding",42.07,"FHL1"
"26","ENSG00000023318",-0.292936256583698,5.75560561213279,15.9178338742593,6.61524499951412e-05,0.00680006441126404,"chr9",99979179,100099040,0.378552001468355,0.388934692608618,"0.3722278698562063",119862,4842,"2","protein_coding",37.86,"ERP44"
"27","ENSG00000024048",-0.289224314604227,6.5920125188523,10.2318961041937,0.00138032694842961,0.0310547052635809,"chr6",42564062,42693504,0.39102153071236,0.418916590224134,"0.38866504808546204",129443,8791,"3","protein_coding",39.1,"UBR2"
"28","ENSG00000025293",-0.186176661661232,5.65816792821324,9.34877181666417,0.0022313495086708,0.0398957429792975,"chr20",35771974,35950381,0.44075938298731,0.449195684950926,"0.4398206944860765",178408,8355,"4","protein_coding",44.08,"PHF20"
"29","ENSG00000026025",-0.285056935296346,9.89106287238202,11.0791865832162,0.000873020882831494,0.0250441338621591,"chr10",17228259,17237593,0.462453133369041,0.488920349277368,"0.45121767774245936",9335,5767,"5","protein_coding",46.25,"VIM"
"30","ENSG00000026508",-0.213235942684634,8.12653115857445,11.5751347859333,0.00066839590841552,0.0216408684037726,"chr11",35138870,35232402,0.41561801717041,0.423429940982953,"0.413761996354154",93533,10085,"3","protein_coding",41.56,"CD44"
