"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start","end","totalGC","exonGc","intronGc","length","exonLength","GCtile","biotype","gc","gene_name"
"1","ENSG00000002330",391.109174926536,0.452523372211228,0.11924793764852,3.79481088842834,0.000147756034346902,0.00826353379869175,"chr11",64269830,64284704,0.539226890756302,0.646998985462134,"0.5246958675116579",14875,1703,"8","protein_coding",53.92,"BAD"
"2","ENSG00000004866",123.875020288276,-0.495870001699413,0.125497681314889,-3.95122839325782,7.77510786462556e-05,0.00606245563835793,"chr7",116953238,117230103,0.39148179985986,0.451044426491018,"0.3888345427068214",276866,6745,"4","protein_coding",39.15,"ST7"
"3","ENSG00000005206",994.630697485092,0.350675144822952,0.103755972176405,3.37980684356883,0.000725367880053473,0.0196099085613235,"chr19",2328615,2354806,0.610606291997557,0.640823649413021,"0.6040288550066538",26192,7111,"8","protein_coding",61.06,"SPPL2B"
"4","ENSG00000005249",452.66442227438,-0.750982754375529,0.174512715402284,-4.30331252736728,1.68263232280974e-05,0.00275042169955494,"chr7",107044649,107161811,0.386325034353849,0.400340652014641,"0.3866519672945847",117163,4305,"2","protein_coding",38.63,"PRKAR2B"
"5","ENSG00000005483",3666.08106346443,-0.287203728752279,0.080170170302575,-3.58242632725273,0.000340417638564405,0.0130032371244475,"chr7",105014179,105114361,0.374634419013206,0.412340952453074,"0.37128142943313464",100183,9549,"2","protein_coding",37.46,"KMT2E"
"6","ENSG00000005810",1740.77598937683,-0.336674233862719,0.0783193303323016,-4.29873739259825,1.71773852013467e-05,0.00276058001545837,"chr13",77044655,77327050,0.357218232552869,0.439733117488068,"0.3520033320239872",282396,15858,"3","protein_coding",35.72,"MYCBP2"
"7","ENSG00000005893",3429.53792533993,-0.297850751677315,0.0930602657821855,-3.20062219008118,0.00137131211537465,0.0276763989892421,"chrX",120427827,120469365,0.387948674739402,0.365833147825084,"0.3796532075521735",41539,5515,"1","protein_coding",38.79,"LAMP2"
"8","ENSG00000006015",898.314081349557,0.683667162909581,0.140053755452995,4.88146255484763,1.05301920319177e-06,0.000597061888209732,"chr19",18588685,18592336,0.602409638554217,0.596380831556675,"0.5940195316619243",3652,3367,"8","protein_coding",60.24,"C19orf60"
"9","ENSG00000006125",3156.63205885107,-0.292079967265759,0.0561233438384137,-5.20425098167163,1.94780614878603e-07,0.00016349197888165,"chr17",35578046,35726409,0.399301717397751,0.464864807763229,"0.39754592824425133",148364,7833,"4","protein_coding",39.93,"AP2B1"
"10","ENSG00000006715",1090.05593379123,-0.260562648621176,0.0862971677565942,-3.01936500808587,0.00253305148434836,0.0392482375166666,"chr7",38722963,38932394,0.38354215210665,0.400280826036457,"0.37875068279485985",209432,7764,"2","protein_coding",38.35,"VPS41"
"11","ENSG00000006831",1286.92253001389,-0.178323483285542,0.0580276444977304,-3.07307809629454,0.00211863034666252,0.0349776424111417,"chr12",1688574,1788678,0.394036261924979,0.437016730231413,"0.39121237117493235",100105,5866,"3","protein_coding",39.4,"ADIPOR2"
"12","ENSG00000007255",453.765994400549,0.283327912908062,0.0972167433504315,2.91439419943092,0.00356379584318791,0.0475835384286292,"chr19",45162928,45178237,0.568647942521228,0.646277119763039,"0.6490053835997907",15310,927,"8","protein_coding",56.86,"TRAPPC6A"
"13","ENSG00000007312",882.235259259186,0.435593761370834,0.139415402833687,3.12443067636126,0.00178149494698904,0.0319765168742063,"chr17",63928740,63932354,0.606915629322268,0.60967980929139,"0.6084292872986128",3615,2074,"8","protein_coding",60.69,"CD79B"
"14","ENSG00000007520",754.891512975472,0.293100003238426,0.0908115367343056,3.22756352087699,0.00124849317929439,0.0264325090374766,"chr16",1349240,1351911,0.625748502994012,0.670986762914252,"0.58374674930228",2672,1237,"8","protein_coding",62.57,"TSR3"
"15","ENSG00000008869",752.115706009468,-0.269882693889593,0.0863794100847064,-3.124386860537,0.00178176028217717,0.0319765168742063,"chr2",36968383,37084342,0.385934805105209,0.412999935573334,"0.376062838000378",115960,8169,"2","protein_coding",38.59,"HEATR5B"
"16","ENSG00000008988",15668.1965322006,0.492974020377568,0.142742266160916,3.45359530597495,0.000553166803473973,0.0171856177982193,"chr8",56067295,56074581,0.419651434060656,0.450048162876967,"0.40628717503033995",7287,3802,"4","protein_coding",41.97,"RPS20"
"17","ENSG00000009413",349.681740537696,-0.398362173507733,0.134962319629021,-2.95165476262365,0.00316076107623925,0.0442165373687625,"chr6",111299028,111483715,0.368968205839037,0.391894376922694,"0.3662228831197599",184688,12388,"2","protein_coding",36.9,"REV3L"
"18","ENSG00000009954",1846.36011187566,-0.270458398556492,0.0835303639211924,-3.23784532785777,0.00120436084904089,0.0260412428336992,"chr7",73440398,73522278,0.431907280077185,0.479520786890889,"0.4264854184833743",81881,7406,"5","protein_coding",43.19,"BAZ1B"
"19","ENSG00000010295",1630.08213436026,0.278120607252194,0.0723024499289633,3.84662770798839,0.000119754723424668,0.00742511539710824,"chr12",6538375,6556083,0.543170139477102,0.587185001905972,"0.5322313959861177",17709,5311,"8","protein_coding",54.32,"IFFO1"
"20","ENSG00000010404",4023.3149667963,-0.22796703623839,0.0723575994223434,-3.15056107524755,0.00162957181661639,0.0305124973684645,"chrX",149476990,149521096,0.453442764187091,0.440066228540207,"0.46863963019341304",44107,9275,"3","protein_coding",45.34,"IDS"
"21","ENSG00000011198",1814.57073645457,-0.425141590130295,0.125877347309593,-3.37742730695355,0.000731672895896249,0.0196382737028721,"chr3",43690113,43734371,0.402562190740866,0.468977199710273,"0.4018098566998556",44259,3191,"4","protein_coding",40.26,"ABHD5"
"22","ENSG00000012048",185.802855050845,-0.388311867565596,0.114138126487104,-3.40212231895596,0.000668647036460396,0.0188732130323841,"chr17",43044295,43170245,0.440925439258124,0.433944711113281,"0.42858359370805155",125951,8894,"3","protein_coding",44.09,"BRCA1"
"23","ENSG00000013016",190.977817464382,-0.406722370400156,0.139226241871946,-2.92130538705657,0.00348567970535835,0.0469890794651363,"chr2",31234337,31269447,0.501295890176868,0.538776640905353,"0.5021139240440421",35111,4630,"7","protein_coding",50.13,"EHD3"
"24","ENSG00000013374",2551.66638103186,-0.286632835415213,0.0855751677812897,-3.34948610498526,0.00080961616391156,0.0207481294887166,"chr7",151341699,151378449,0.449620418492014,0.482228583687002,"0.44965338451980763",36751,5393,"5","protein_coding",44.96,"NUB1"
"25","ENSG00000014257",333.452559802255,-0.504098758598235,0.135574719499202,-3.71823567447028,0.000200619063217145,0.00961726434369146,"chr3",132317367,132368298,0.403950365192806,0.435017249835864,"0.3945610969998697",50932,4505,"3","protein_coding",40.4,"ACPP"
"26","ENSG00000018408",13.3283277691999,-1.18225594283166,0.315386717228679,-3.74859142204913,0.000177830515137899,0.00903604341979342,"chr3",149517235,149736714,0.410688901038819,0.426239877660693,"0.41185561726994097",219480,8394,"3","protein_coding",41.07,"WWTR1"
"27","ENSG00000019995",814.145098617421,-0.252222310656872,0.0861098358573782,-2.92907666291017,0.00339970561045554,0.0462747626377385,"chr10",124942123,124988189,0.396791629582999,0.393597584281785,"0.3965958485007058",46067,5984,"2","protein_coding",39.68,"ZRANB1"
"28","ENSG00000021776",746.199220020042,-0.29752648620896,0.093770804313286,-3.17291174356286,0.00150918393980542,0.0292237282858372,"chr15",34851782,34969839,0.375357874942825,0.38915052553717,"0.3701190790816791",118058,13681,"2","protein_coding",37.54,"AQR"
"29","ENSG00000022267",214.312867406745,-0.51040674275221,0.139794596330649,-3.65111925746379,0.000261099956535025,0.0112795181223131,"chrX",136146702,136211359,0.420705867796715,0.501007972096333,"0.41144407019204615",64658,6084,"6","protein_coding",42.07,"FHL1"
"30","ENSG00000022277",2146.36220015366,-0.249656122844041,0.0848851793141628,-2.94110379292544,0.0032704492877699,0.0450562125112354,"chr20",56468585,56519449,0.43711786100462,0.463785831909361,"0.43225197518875",50865,4147,"4","protein_coding",43.71,"RTFDC1"
"31","ENSG00000023318",1627.24976526348,-0.303523254664849,0.0742553161504707,-4.08756262042963,4.35929029865291e-05,0.00454568753900911,"chr9",99979179,100099040,0.378552001468355,0.388934692608618,"0.3722278698562063",119862,4842,"2","protein_coding",37.86,"ERP44"
"32","ENSG00000024048",2899.47943525745,-0.301385638649715,0.0889975594405279,-3.38644835368901,0.000708036021979208,0.0195237166911713,"chr6",42564062,42693504,0.39102153071236,0.418916590224134,"0.38866504808546204",129443,8791,"3","protein_coding",39.1,"UBR2"
"33","ENSG00000025293",1518.7840792138,-0.192325861967015,0.0588728367040186,-3.26680134225445,0.00108769978024192,0.0247164673264951,"chr20",35771974,35950381,0.44075938298731,0.449195684950926,"0.4398206944860765",178408,8355,"4","protein_coding",44.08,"PHF20"
"34","ENSG00000026025",28419.2676908135,-0.295095113387608,0.0775118487297032,-3.80709682743672,0.000140607703925123,0.00799744884018003,"chr10",17228259,17237593,0.462453133369041,0.488920349277368,"0.45121767774245936",9335,5767,"5","protein_coding",46.25,"VIM"
"35","ENSG00000026508",8404.67331024637,-0.221361505748623,0.0588419295802433,-3.76196884309768,0.000168581052362147,0.00873924175445368,"chr11",35138870,35232402,0.41561801717041,0.423429940982953,"0.413761996354154",93533,10085,"3","protein_coding",41.56,"CD44"
"36","ENSG00000029364",909.321460771852,-0.216054823295974,0.0647743084152842,-3.33550181517636,0.000851455979730344,0.0213087135120377,"chr14",69398015,69462388,0.401994594090782,0.433928214157591,"0.40010354730957454",64374,7810,"3","protein_coding",40.2,"SLC39A9"
"37","ENSG00000031691",68.0680990560032,0.95616328722773,0.276611713477112,3.45669847168944,0.000546836354940617,0.0171360946874656,"chr6",49463378,49493107,0.379852001345442,0.338554066528955,"0.38321265572018676",29730,1724,"1","protein_coding",37.99,"CENPQ"
"38","ENSG00000035403",2392.04167909211,-0.401963680216683,0.0950432591207178,-4.2292707966394,2.34450002639008e-05,0.00313552864756724,"chr10",73995193,74121363,0.414548509562419,0.453539839408706,"0.4101093624340075",126171,9966,"4","protein_coding",41.45,"VCL"
"39","ENSG00000035928",1137.45724241928,-0.399525730925634,0.101892365534943,-3.92105658582065,8.81615555062028e-05,0.0064079085944712,"chr4",39287456,39366375,0.392587430309174,0.417273789741148,"0.3901596192125551",78920,6680,"3","protein_coding",39.26,"RFC1"
"40","ENSG00000036257",1530.05801770459,-0.298198249680313,0.0919014586289227,-3.24476079193009,0.00117549323979442,0.025776956507635,"chr2",224470150,224585397,0.372327502429543,0.368304150713973,"0.3644872546519234",115248,11774,"1","protein_coding",37.23,"CUL3"
"41","ENSG00000037241",89.0551926971339,0.598728383967266,0.205439903612304,2.91437239523416,0.00356404479301737,0.0475835384286292,"chr5",172958729,172969771,0.461197138458752,0.515124117851298,"0.4607457735620358",11043,1157,"6","protein_coding",46.12,"RPL26L1"
"42","ENSG00000038219",6835.33225614626,-0.463817997632075,0.113107314512029,-4.10068968247626,4.11920633486758e-05,0.00442241891951701,"chr4",13568738,13627723,0.388770216661581,0.418045643639494,"0.37560204629421967",58986,15832,"3","protein_coding",38.88,"BOD1L1"
"43","ENSG00000042088",410.765642464552,-0.260591420240204,0.0646925636446621,-4.02815108196297,5.6217214892088e-05,0.00512314983858106,"chr14",89954939,90044768,0.421362573750417,0.471766478889168,"0.42338522958077884",89830,6202,"5","protein_coding",42.14,"TDP1"
"44","ENSG00000043462",6366.85678264664,-0.322600540996754,0.0746938655853587,-4.31896968336833,1.56759311774868e-05,0.0026863829757088,"chr5",170246237,170298227,0.44642341943798,0.439652108042131,"0.4464038102146935",51991,7223,"3","protein_coding",44.64,"LCP2"
"45","ENSG00000044574",4080.70281126719,-0.342050279556644,0.0917901071669443,-3.72643948366392,0.000194203671665919,0.00947212746964097,"chr9",125234853,125241330,0.439796233405372,0.460284827935166,"0.39876299217735967",6478,3900,"4","protein_coding",43.98,"HSPA5"
"46","ENSG00000047410",3030.58673100421,-0.384674345942666,0.0996847974681928,-3.8589068314595,0.000113895344453345,0.00720040811763586,"chr1",186311652,186375693,0.341603947409512,0.394724278987202,"0.3290362398788345",64042,12299,"2","protein_coding",34.16,"TPR"
"47","ENSG00000048649",2490.67231965655,-0.302702822955966,0.0946761554432826,-3.19724456003397,0.00138747237696334,0.0277862017744182,"chr11",77659996,77821017,0.390369017898175,0.384078886464746,"0.384874229620184",161022,17099,"1","protein_coding",39.04,"RSF1"
"48","ENSG00000048740",6722.85912717987,-0.167275241701769,0.0567862835004127,-2.94569799942188,0.00322226840589962,0.0447469751519225,"chr10",10798397,11336675,0.41912465468651,0.413144989061696,"0.42017190339518096",538279,14860,"2","protein_coding",41.91,"CELF2"
"49","ENSG00000048991",411.398330240982,-0.306171357508052,0.0809898685724492,-3.78036614831851,0.000156597891128434,0.00838307422527667,"chr2",135531455,135725270,0.379788046394519,0.449804970472221,"0.3755315132413914",193816,7866,"4","protein_coding",37.98,"R3HDM1"
"50","ENSG00000049089",508.82238017192,0.48923635796727,0.168631652734061,2.90121308802455,0.00371721008591413,0.0490018780502074,"chr1",40300487,40317816,0.574264281592614,0.640013151598568,"0.5582665152177114",17330,4189,"8","protein_coding",57.43,"COL9A2"
"51","ENSG00000049245",1740.05858429143,-0.202012166398976,0.0642077311504323,-3.14622807533383,0.00165390976563899,0.0307779885002603,"chr1",7771269,7781432,0.427685950413223,0.433936852742975,"0.4299497378644968",10164,2754,"3","protein_coding",42.77,"VAMP3"
"52","ENSG00000049759",103.185746274631,-0.545489095873225,0.159980987815088,-3.40971201217811,0.000650315100545155,0.0188231753722181,"chr18",58044367,58401540,0.43361778852884,0.472528920097241,"0.43121707075901755",357174,17406,"5","protein_coding",43.36,"NEDD4L"
"53","ENSG00000049769",176.086791259673,0.353093562765511,0.11507173574145,3.06846473193783,0.00215161723795667,0.0352299897851737,"chrX",49269843,49301461,0.478478130238148,0.58641680091698,"0.49161051366736513",31619,4433,"8","protein_coding",47.85,"PPP1R3F"
"54","ENSG00000052126",90.541020831527,-0.763650754885803,0.240525103842198,-3.17493160874723,0.00149871820222173,0.0291142859326671,"chr12",19129752,19376400,0.380946202903721,0.42256621087723,"0.37794574911516177",246649,12517,"3","protein_coding",38.09,"PLEKHA5"
"55","ENSG00000053254",1823.35050211659,-0.395739586663357,0.0975769206420134,-4.05566791880256,4.99912427955923e-05,0.00477952665578935,"chr14",89124871,89619149,0.443101972772462,0.455675633594032,"0.448500839172388",494279,11060,"4","protein_coding",44.31,"FOXN3"
"56","ENSG00000053372",517.607039027073,0.282529852718326,0.0968520865972976,2.91712716415765,0.00353271713114355,0.0473045163302351,"chr1",19251539,19260128,0.534924330616997,0.561702693364102,"0.5320306464201334",8590,2814,"7","protein_coding",53.49,"MRTO4"
